target_entity_code,target_entity_type,target_entity_label,property,property_label,class,class_label,Gini,proportion,objects_number,facts_number,Gini_times_proportion,gini_calculation_method,time_to_get_result,sampling,queries_number,percentage,queries_number_per_record,rankk
http://dbpedia.org/resource/Academic,occupations,NULL,http://dbpedia.org/ontology/wikiPageWikiLink,NULL,http://www.w3.org/2002/07/owl#Thing,NULL,0.8731606217616581,0.864407,306,4519,0.7547659611838061,model,0.04443988005320231,0,284,100,4,1
http://dbpedia.org/resource/Academic,occupations,NULL,http://dbpedia.org/ontology/wikiPageWikiLink,NULL,http://dbpedia.org/class/yago/YagoLegalActorGeo,NULL,0.789299046038988,0.717514,254,2157,0.5663332138245847,model,0.04443988005320231,0,284,100,4,2
http://dbpedia.org/resource/Academic,occupations,NULL,http://dbpedia.org/ontology/wikiPageWikiLink,NULL,http://dbpedia.org/class/yago/PhysicalEntity100001930,NULL,0.8411854103343465,0.590395,209,2423,0.49663206429344187,model,0.04443988005320231,0,284,100,4,3
http://dbpedia.org/resource/Academic,occupations,NULL,http://dbpedia.org/ontology/wikiPageWikiLink,NULL,http://dbpedia.org/class/yago/Object100002684,NULL,0.8405188859214039,0.590395,209,2412,0.4962385512925803,model,0.04443988005320231,0,284,100,4,4
http://dbpedia.org/resource/Academic,occupations,NULL,http://dbpedia.org/ontology/wikiPageWikiLink,NULL,http://dbpedia.org/class/yago/Whole100003553,NULL,0.8375209380234506,0.548023,194,2194,0.45898040106369886,model,0.04443988005320231,0,284,100,4,5
http://dbpedia.org/resource/Academic,occupations,NULL,http://dbpedia.org/ontology/author,NULL,http://www.w3.org/2002/07/owl#Thing,NULL,0.683168316831683,0.0451977,16,85,0.03087766403759019,model,0.04443988005320231,0,284,100,4,6
http://dbpedia.org/resource/Academic,occupations,NULL,http://dbpedia.org/ontology/author,NULL,http://schema.org/CreativeWork,NULL,0.683168316831683,0.0451977,16,85,0.03087766403759019,model,0.04443988005320231,0,284,100,4,7
http://dbpedia.org/resource/Academic,occupations,NULL,http://dbpedia.org/ontology/author,NULL,http://dbpedia.org/ontology/Work,NULL,0.683168316831683,0.0451977,16,85,0.03087766403759019,model,0.04443988005320231,0,284,100,4,8
http://dbpedia.org/resource/Academic,occupations,NULL,http://dbpedia.org/ontology/author,NULL,http://www.wikidata.org/entity/Q386724,NULL,0.683168316831683,0.0451977,16,85,0.03087766403759019,model,0.04443988005320231,0,284,100,4,9
http://dbpedia.org/resource/Academic,occupations,NULL,http://dbpedia.org/ontology/author,NULL,http://dbpedia.org/ontology/WrittenWork,NULL,0.6808510638297872,0.0423729,15,79,0.028849621348719795,model,0.04443988005320231,0,284,100,4,10
http://dbpedia.org/resource/Academic,occupations,NULL,http://dbpedia.org/property/author,NULL,http://www.w3.org/2002/07/owl#Thing,NULL,0.7173913043478258,0.0367232,13,79,0.026344878408253492,model,0.04443988005320231,0,284,100,4,11
http://dbpedia.org/resource/Academic,occupations,NULL,http://dbpedia.org/property/author,NULL,http://www.wikidata.org/entity/Q234460,NULL,0.7142857142857141,0.0338983,12,72,0.02421307506053268,model,0.04443988005320231,0,284,100,4,12
http://dbpedia.org/resource/Academic,occupations,NULL,http://dbpedia.org/property/author,NULL,http://dbpedia.org/ontology/Work,NULL,0.7142857142857141,0.0338983,12,72,0.02421307506053268,model,0.04443988005320231,0,284,100,4,13
http://dbpedia.org/resource/Academic,occupations,NULL,http://dbpedia.org/property/author,NULL,http://dbpedia.org/ontology/WrittenWork,NULL,0.7142857142857141,0.0338983,12,72,0.02421307506053268,model,0.04443988005320231,0,284,100,4,14
