target_entity_code,target_entity_type,target_entity_label,property,property_label,class,class_label,Gini,proportion,objects_number,facts_number,Gini_times_proportion,gini_calculation_method,time_to_get_result,sampling,queries_number,percentage,queries_number_per_record,rankk
Q1028181,occupations,painter,P170,creator,Q3305213,painting,0.8293932449799744,0.30805,62724,672581,0.25549496060291876,model,1.7621324102083842,0,678,100,4,1
Q1028181,occupations,painter,P170,creator,Q11060274,print,0.8639975437519188,0.0271933,5537,75888,0.023494982711350653,model,1.7621324102083842,0,678,100,4,2
Q1028181,occupations,painter,P170,creator,Q93184,drawing,0.8614555623763728,0.0249391,5078,68227,0.02148392732274095,model,1.7621324102083842,0,678,100,4,3
Q1028181,occupations,painter,P921,"main subject",Q13433827,"encyclopedia article",0.15283695552217758,0.135731,27637,37609,0.02074471033595799,model,1.7621324102083842,0,678,100,4,4
Q1028181,occupations,painter,P1066,"student of",Q5,human,0.51386938750039,0.0382583,7790,24259,0.01965976410806635,model,1.7621324102083842,0,678,100,4,5
Q1028181,occupations,painter,P10661,"exhibited creator",Q667276,"art exhibition",0.7211538461538461,0.0212213,4321,26671,0.015303835500308272,model,1.7621324102083842,0,678,100,4,6
Q1028181,occupations,painter,P10661,"exhibited creator",Q1656682,event,0.7303055213042883,0.0193354,3937,25259,0.014120760831049538,model,1.7621324102083842,0,678,100,4,7
Q1028181,occupations,painter,P170,creator,Q838948,"work of art",0.6407119021134592,0.0142769,2907,13275,0.009147363171085896,model,1.7621324102083842,0,678,100,4,8
Q1028181,occupations,painter,P802,student,Q5,human,0.21653642551046132,0.0381601,7770,12065,0.00826304429031257,model,1.7621324102083842,0,678,100,4,9
Q1028181,occupations,painter,P50,author,Q3331189,"version, edition or translation",0.7082920792079209,0.0115757,2357,13803,0.008198984513461956,model,1.7621324102083842,0,678,100,4,10
Q1028181,occupations,painter,P3373,sibling,Q5,human,0.21020377659309447,0.0389262,7926,12145,0.00818243720177622,model,1.7621324102083842,0,678,100,4,11
Q1028181,occupations,painter,P22,father,Q5,human,0.18660601742752236,0.0364461,7421,10826,0.006801053234174345,model,1.7621324102083842,0,678,100,4,12
Q1028181,occupations,painter,P180,depicts,Q3305213,painting,0.31751394672742983,0.0213294,4343,8384,0.006772370887539426,model,1.7621324102083842,0,678,100,4,13
Q1028181,occupations,painter,P110,illustrator,Q3331189,"version, edition or translation",0.5582754841066859,0.0118753,2418,8530,0.0066296858821014385,model,1.7621324102083842,0,678,100,4,14
